word_original	en	fr	de	ru	zh	es	ja	ko	et	fi	nl	hi	it	sym_en	sym_fr	sym_de	sym_ru	sym_zh	sym_es	sym_ja	sym_ko	sym_et	sum_fi	sum_nl	sym_hi	sym_it	claude_en	claude_fr	claude_de	claude_ru	claude_zh	claude_es	claude_ja	claude_ko	claude_et	claude_fi	claude_nl	claude_hi	claude_it
wood	wood	bois	Holz	дерево	木	madera	木	나무	puit	puu	hout	लकड़ी	legno	['wood', 'forrest', 'forest', 'woods', 'Wälder', 'sap-wood', 'sapwood', 'alburnum']	['forêt', 'bois', 'brousse', 'Wälder', 'aubier']	['Busch', 'Wald', 'Forst', 'Wälder', 'Holz', 'Splintholz']	['лес', 'дерево', 'оболонь', 'древеси́на', 'древесина', 'лесоматериа́л', 'де́рево']	['林木', '树林', '樹林', '森林', '木头', '木', '木材', '木料', '木頭']	['bosque', 'Wälder', 'bosques', 'selva', 'floresta', 'albura', 'sámago', 'madera']	['森林', '森', '木材', '木']	['숲', '삼림', '나무', '목재']	['laas', 'mets', 'Wälder', 'puit', 'puu']	['metsä', 'Wälder', 'puu', 'puumaila', 'pintapuu', 'puuaines']	['bos', 'woud', 'Wälder', 'bosje', 'foreest', 'hout', 'spinthout', 'houtsoort']	['जंगल', 'वन', 'लक्डी', 'लकड़ी', 'काठ', 'काष्ठ']	['foresta', 'bosco', 'Wälder', 'selva', 'bosco misto', 'legno', 'alburno', 'legname']	['timber', 'lumber', 'forest', 'woodland']	['forêt', 'bosquet', 'bûche']	['Wald', 'Gehölz', 'Forst', 'Hain']	['древесина', 'лес', 'роща']	['木头', '木材', '树木']	['leño', 'bosque', 'palo', 'tabla']	['木材', '森', '林', '樹木']	["목재", "목", "숲", "삼림"]	["puu", "mets", "metsatukk"]	["puuaines", "metsä"]	["bos", "woud", "timber"]	["काष्ठ", "दारु", "एरण्ड"]	["bosco", "foresta", "legname", "boschetto"]
village	village	village	Dorf	деревня	村	pueblo	村	마을	küla	kylä	dorp	गांव	villaggio	['village', 'hamlet']	['hameau']	['Dorf', 'Ortschaft', 'Weiler', 'Dörfchen']	['село', 'деревня', 'слобода́', 'село́', 'кишла́к', 'ау́л', 'стани́ца', 'селе́ние', 'весца́', 'ху́тор', 'дере́вня', 'вёска', 'весь', 'ве́слина']	['村', '乡庄', '鄉村', '村莊', '村落', '农村', '乡村', '屯落', '農村', '村庄', '村子', '鄉莊']	['caserío', 'pueblo', 'aldea', 'aldehuela']	['村', '村落', '田舎']	['마을', '촌락']	['küla']	['kylä', 'pieni kylä']	['dorp', 'gehucht', 'gat', 'buurt', 'buurtschap', 'vlek']	['गाँव', 'गांव']	['paesello', 'borgo', 'paesino', 'frazione', 'villaggio', 'paese', 'borgata', 'casale', 'vico']	['hamlet', 'settlement', 'community', 'town']	['hameau', 'bourg', 'bourgade']	['Ortschaft', 'Siedlung', 'Weiler', 'Flecken']	['село', 'поселок', 'селение']	['村庄', '村子', '乡村', '农村']	['aldea', 'poblado', 'caserío', 'localidad']	['集落', '町', '里', '農村']	["촌", "동네", "부락", "어촌", "농촌"]	["alevik", "asula"]	["pitäjä", "kyläyhteisö"]	["gehucht", "nederzetting", "buurtschap"]	["ग्राम", "देहात", "पुरवा"]	["borgo", "paese", "paesino", "paesello"]
forest	forest	forêt	Wald	лес	森林	bosque	森	숲	mets	metsä	bos	जंगल	foresta	['forest', 'forrest', 'wood', 'woods', 'Wälder']	['forêt', 'bois', 'brousse', 'Wälder']	['Busch', 'Wald', 'Forst', 'Wälder', 'Holz']	['лес']	['林木', '树林', '樹林', '森林']	['bosque', 'Wälder', 'bosques', 'selva', 'floresta']	['森林', '森']	['숲', '삼림']	['laas', 'mets', 'Wälder']	['metsä', 'Wälder', 'puu', 'puumaila']	['bos', 'woud', 'Wälder', 'bosje', 'foreest']	['जंगल', 'वन']	['foresta', 'bosco', 'Wälder', 'selva', 'bosco misto']	['woods', 'woodland', 'grove', 'jungle']	['bois', 'futaie', 'sylve']	['Forst', 'Gehölz', 'Hain', 'Holz', 'Wäldchen']	['бор', 'роща', 'чаща']	['树林', '林地', '密林', '丛林']	['selva', 'arboleda', 'floresta', 'jungla']	['林', '樹海', '森林']	["산림", "삼림", "수풀", "밀림"]	["laas", "võsa", "puistu"]	["metsikkö", "korpi", "taiga"]	["woud", "bosgebied", "bebossing"]	["वन", "अरण्य", "कानन"]	["bosco", "selva", "boscaglia"]
fruit	fruit	fruit	Obst	фрукт	水果	fruta	果物	과일	puuvili	hedelmä	fruit	फल	frutto	['fruit', 'fleshy fruit']	['fruit charnu']	['Frucht', 'Saftfrucht']	['фрукт', 'плод', 'мягкотелый плод']	['水果', '果实', '果子']	['fruta', 'fruto']	['実', '果実', '液果']	['열매']	['vili', 'puuvili']	['hedelmä']	['vrucht', 'ooft', 'vlezig fruit', 'zaadbol']	['फल']	['frutto', 'frutta carnosa', 'frutta']	['produce', 'crop', 'harvest', 'yield']	['produit', 'résultat']	['Frucht', 'Früchte', 'Ernte']	['плод', 'фруктовый']	['果实', '果品', '果子']	['fruto', 'producto', 'resultado']	['フルーツ', '実', '成果', '結果']	["열매", "실과", "청과", "주스"]	["vili", "marjad"]	["marja", "vihannes"]	["vrucht", "gewas", "oogst"]	["मेवा", "उपज"]	["frutta", "prodotto", "risultato"]
song	song	chanson	Lied	песня	歌	canción	歌	노래	laul	laulu	lied	गाना	canzone	['song', 'vocal']	['chanson']	['Lied']	['песня']	['歌', '歌曲']	['canción', 'vocal']	['歌曲', '歌']	['노래']	['laul']	['laulu', 'sävelmä', 'lauluosuus']	['lied', 'zang', 'liedje', 'een appel en een ei', 'nummer']	['गीत']	['canzone', 'canzonetta', 'canto']	['melody', 'tune', 'hymn', 'ballad', 'anthem']	['mélodie', 'air', 'morceau', 'chant']	['Gesang', 'Weise', 'Melodie', 'Chanson', 'Schlager']	['мелодия', 'композиция', 'музыкальное произведение']	['歌曲', '歌词', '歌谣', '曲子']	['melodía', 'tema', 'tonada', 'canto']	['楽曲', '歌謡', '唄', 'ソング']	["가곡", "음악", "가요", "곡"]	["viis", "meloodia", "lauluviis"]	["kappale", "sävelmä", "sävel"]	["muziek", "melodie", "zang", "deun"]	["गीत", "संगीत", "धुन"]	["brano", "melodia", "aria", "motivo"]
water	water	eau	Wasser	вода	水	agua	水	물	vesi	vesi	water	पानी	acqua	['water', 'body of water', 'waterbody', 'ice', 'water ice']	['eau', 'eaux', "étendue d'eau", 'glace']	['Wasser', 'Gewässer', 'Eis']	['вода', 'воды', 'во́дное простра́нство', 'водоём', 'водный объект', 'лед', 'лёд']	['水', '水體', '水体', '冰', '冰块']	['agua', 'cuerpo de agua', 'extensión de agua', 'masa de agua', 'hielo']	['水', '水域', '氷']	['물', '수역', '얼음']	['vesi', 'veekogu', 'jää']	['vesi', 'vedet', 'vesimuodostuma', 'vesialue', 'jää', 'jäätynyt vesi']	['zoetwater', 'majem', 'wateren', 'waterlichaam', 'ijs', 'roomijs', 'waterijs']	['जल', 'पानी', 'जल निकाय', 'बरफ़', 'बर्फ़', 'यख़']	['acqua', 'acque', "corpo d'acqua", "bacino d'acqua", "massa d'acqua", "specchio d'acqua", 'ghiaccio']	['liquid', 'fluid', 'H2O', 'aqua']	['liquide', 'flotte', 'onde']	['Flüssigkeit', 'Nass', 'Aqua', 'Gewässer']	['жидкость', 'влага']	['液体', '水分', '水源', '水域']	['líquido', 'fluido', 'acuático']	['液体', '湯', '雨', '海']	["수", "액체", "음료수", "강물", "바닷물"]	["vedelik", "meri", "jõgi"]	["neste", "vesijohtovesi"]	["vloeistof", "aqua", "vocht"]	["जल", "नीर", "वारि"]	["acque", "liquido", "fluido"]
river	river	rivière	Fluss	река	河	río	川	강	jõgi	joki	rivier	नदी	fiume	['river', 'stream', 'watercourse', 'brook', 'lake system']	['rivière', 'fleuve', 'courant', "cours d'eau", 'ruisseau', 'rupt', "courant d'eau", 'ru']	['Fluß', 'Fluss', 'Bach', 'Wasserlauf', 'Fließgewässer']	['река', 'водный путь', 'ручей', 'поток', 'ре́чка', 'водоток', 'пото́к', 'речу́шка', 'руче́й', 'система озёр']	['河', '水流', '河流', '川', '江', '水道', '小河', '溪', '流水']	['río', 'ríos', 'arroyo', 'corriente', 'curso de agua', 'flujo']	['川', '流れ', '小川', '渓流', '水路']	['강', '시내', '물길', '내', '개울']	['jõgi', 'vooluveekogu', 'oja', 'Oja']	['joki', 'vesitie', 'vesistö', 'puro', 'väylä', 'vesireitti', 'noro', 'oja', 'virtavesi', 'virta']	['rivier', 'stroom', 'waterloop', 'beek', 'merensysteem', 'watergang']	['नदी', 'दरिया', 'रूद', 'जलस्रोत']	['fiume', "corso d'acqua", 'corrente', 'ruscello', 'rivo', 'torrente']	['stream', 'creek', 'brook', 'tributary']	['fleuve', "cours d'eau"]	['Strom', 'Wasserlauf', 'Fließgewässer']	['речка', 'поток', 'течение']	['河流', '江', '溪', '川']	['cauce', 'corriente', 'riachuelo', 'arroyo']	['河川', '河', '流れ', '渓流']	["하천", "개울", "시내", "강물"]	["vooluveekogu", "jõesäng"]	["virta", "puro"]	["stroom", "waterstroom", "waterloop"]	["सरिता", "तटिनी", "अपगा"]	["corso d'acqua", "torrente", "affluente"]
law	law	loi	Gesetz	закон	法律	ley	法律	법률	seadus	laki	wet	कानून	legge	['law', 'jurisprudence', 'police', 'police force', 'constabulary', 'Constabulary']	['loi', 'droit', 'police', 'gendarmerie', 'forces de l’ordre']	['Recht', 'Gesetz', 'Polizei', 'Polizeitruppe', 'Polizeiapparat', 'Polizeikräfte']	['право', 'пра́вило', 'пра́во', 'зако́н', 'закон', 'полиция', 'полицейские силы']	['法律系统', '法律', '公安', '警方', '警察', '警', '警队', '警隊', '警察機構']	['derecho', 'ley', 'Derecho', 'jurisprudencia', 'policía', 'cuerpo de policía', 'Constabularía', 'fuerzas policiales', 'fuerzas de orden público', 'fuerzas de seguridad', 'fuerzas del orden', 'fuerza pública', 'guardia', 'agentes', 'policia']	['法', '警察']	['법', '경찰']	['õigus', 'seadus', 'politsei', 'Politsei']	['laki', 'juridiikka', 'poliisi', 'poliisivoimat']	['wet', 'recht', 'politie', 'politiemacht', 'prinsemarij', 'politieapparaat', 'kit', 'politie-apparaat', 'hermandad']	['नियम', 'विधि', 'क़ानून', 'पुलिस']	['diritto', 'legge', 'giurisprudenza', 'legislazione', 'corpo legislativo', 'polizia', 'questura', "forze dell'ordine", 'madama', 'forza pubblica']	['rule', 'regulation', 'statute', 'legislation']	['règle', 'législation', 'droit']	['Recht', 'Regel', 'Verordnung', 'Vorschrift', 'Bestimmung']	['право', 'правило', 'норма']	['法规', '法令', '法则', '条例']	['norma', 'regla', 'estatuto', 'decreto', 'legislación']	['法令', '法規', '規則', '条例']	["법", "법규", "규정", "조례", "법전"]	["õigus", "määrus", "eeskiri"]	["säädös", "asetus", "oikeus"]	["regel", "voorschrift", "verordening", "reglement"]	["विधि", "नियम", "अधिनियम"]	["norma", "regola", "statuto", "decreto"]
wave	wave	vague	Welle	волна	波	ola	波	파도	laine	aalto	golf	लहर	onda	['wave', 'sea wave', 'ocean surface wave', 'moving ridge', 'wind wave']	['vague', 'onde']	['Meereswelle', 'Welle', 'Wasserwelle']	['морская волна', 'ветровые волны']	['海浪', '波濤', '波', '波浪']	['ola', 'ola marina', 'onda']	['波']	['파도']	['merelaine', 'Veelained', 'veelained']	['aalto']	['zeegolven', 'vloeistofoppervlaktegolf', 'oppervlaktegolf', 'golf']	['महासागरीय तरंगे']	['onda marina', 'onda del mare', 'onda', 'flutto']	['ripple', 'swell', 'surge', 'breaker']	['onde', 'flot', 'lame']	['Woge', 'Brandung', 'Dünung', 'Schwingung']	['вал', 'зыбь']	['波浪', '波涛', '波动', '浪潮']	['oleaje', 'ondulación', 'marejada']	['波動', '波浪', '波紋', '浪']	["물결", "파", "풍랑", "너울"]	["lainetus", "võnge"]	["laine", "maininki"]	["baar", "deining", "branding"]	["तरंग", "हिलोर", "मौज"]	["flutto", "maroso", "ondulazione"]
ocean	ocean	océan	Ozean	океан	海洋	océano	海洋	대양	ookean	valtameri	oceaan	महासागर	oceano	['ocean', 'sea', 'body of water', 'bounding main', 'marine environment']	['milieu marin', 'océan']	['Meeresumwelt', 'Ozean']	['морская окружающая среда', 'океан']	['海洋', '洋', '大洋']	['océano', 'ambiente marino', 'mar']	['大洋', '海洋']	['대양']	['ookean', 'merekeskkond']	['valtameri', 'meriympäristö']	['mariene milieu', 'oceaan', 'plas', 'wereldzee']	['महासागर']	['ambiente marino', 'oceano']	['sea', 'deep', 'brine', 'main']	['mer', 'large']	['Meer', 'Weltmeer', 'See']	['море', 'водное пространство']	['大海', '海', '洋']	['mar', 'piélago']	['大洋', '外洋', '海', '深海']	["바다", "해양", "양", "해"]	["maailmameri", "meri"]	["meri", "ulappa"]	["zee", "wereldzee", "zeebodem"]	["सागर", "समुंदर", "उदधि"]	["mare", "pelago"]
cave	cave	grotte	Höhle	пещера	洞穴	cueva	洞窟	동굴	koobas	luola	grot	गुफा	caverna	['cave']	['grotte', 'caverne']	['Höhle']	['пещера']	['洞穴', '洞窟', '石窟', '洞']	['caverna', 'cueva', 'gruta']	['洞窟']	['동굴']	['koobas']	['luola', 'luolasto']	['hol', 'grot']	['गुफ़ा']	['caverna', 'grotta', 'antro']	['cavern', 'grotto', 'hollow', 'den']	['caverne', 'antre', 'cavité']	['Grotte', 'Kaverne', 'Hohlraum', 'Loch']	['грот', 'подземелье']	['山洞', '岩洞', '地洞', '窟']	['caverna', 'gruta', 'cavidad', 'antro']	['鍾乳洞', '洞穴', '窟', '巣穴']	["굴", "동", "동천", "석굴"]	["õõnsus", "grott"]	["onkalo", "kolo"]	["hol", "spelonk", "holte"]	["कंदरा", "गर्त", "गुहा"]	["grotta", "antro", "spelonca"]
sea	sea	mer	Meer	море	海	mar	海	바다	meri	meri	zee	समुद्र	mare	['sea', 'body of water', 'bounding main', 'ocean', 'marine environment']	['mer', 'milieu marin', 'océan']	['Meer', 'Meeresumwelt', 'Ozean']	['Мировой океан', 'море', 'морская окружающая среда', 'океан']	['海', '世界洋', '海洋', '洋', '大洋']	['mar', 'océano mundial', 'océano', 'mares', 'ambiente marino']	['海', '世界の大洋', '大洋', '海洋']	['바다', '대양']	['Maailmameri', 'meri', 'ookean', 'merekeskkond']	['meri', 'valtameri', 'meriympäristö']	['zee', 'mariene milieu', 'oceaan', 'plas', 'wereldzee']	['सागर', 'महासागर']	['mare', 'acque', 'ambiente marino', 'oceano']	['ocean', 'marine', 'maritime', 'aquatic']	['océan', 'large', 'flots']	['Ozean', 'See', 'Gewässer']	['океан', 'водоем']	['海洋', '大海', '海域']	['océano', 'piélago', 'marino']	['海洋', '海面', '大海', '洋']	["해", "해양", "대양", "해변"]	["ookean", "veekogu"]	["ulappa", "meren selkä"]	["oceaan", "zeebodem", "zeewater"]	["सागर", "जलधि", "सिंधु"]	["oceano", "marina"]
lake	lake	lac	See	озеро	湖	lago	湖	호수	järv	järvi	meer	झील	lago	['lake']	['lac']	['See']	['озеро']	['湖', '湖泊']	['lago', 'lagos', 'estanque']	['湖']	['호수']	['järv']	['järvi']	['meer']	['झील']	['lago']	['pond', 'lagoon', 'reservoir', 'basin']	['étang', 'mare', 'bassin']	['Teich', 'Weiher', 'Gewässer']	['водоем', 'пруд']	['湖泊', '湖水', '池']	['laguna', 'embalse', 'estanque']	['湖沼', '池', '湖水', '湖畔']	["못", "담수호", "내호", "저수지"]	["tiik", "veesilm"]	["lampi", "allas"]	["plas", "vijver", "waterbekken"]	["सरोवर", "तालाब", "पोखर"]	["bacino", "specchio d'acqua"]
fire	fire	feu	Feuer	огонь	火	fuego	火	불	tuli	tuli	vuur	आग	fuoco	['fire', 'flame', 'flaming']	['flamme', 'feu', 'incendie']	['Flamme', 'Feuergarbe', 'Lohe', 'Feuer', 'Feuerzunge', 'Brand']	['огонь', 'пламя', 'по́лы́мя', 'пла́мень', 'пла́мя', 'Пламя', 'пожар']	['火', '火焰', '焚烧', '燃烧', '火舌', '焰', '火灾', '火災']	['fuego', 'llama', 'flama', 'lumbre', 'incendio']	['炎', '火', '火炎', '火災', '火事']	['불', '화염', '불꽃', '불길', '큰불', '화재']	['põleng', 'leek', 'Tuli', 'tuli', 'Leek']	['tuli', 'liekki', 'palo', 'tulipalo']	['vuur', 'fik', 'vlam', 'laai', 'brand', 'ontbranding']	['अग्नि', 'आग', 'आतिश', 'ज्वाला', 'शोला', 'लौ', 'लपट']	['fuoco', 'fiamma', 'incendio', 'rogo']	['flame', 'blaze', 'inferno', 'conflagration']	['flamme', 'incendie', 'brasier']	['Brand', 'Flamme', 'Glut', 'Lohe']	['пламя', 'костер', 'пожар']	['火焰', '火苗', '火光', '火灾']	['llama', 'incendio', 'hoguera', 'fogata']	['炎', '火災', '火事', '燃焼']	["화재", "화염", "불꽃", "소방"]	["leek", "lõke", "põleng"]	["liekki", "palo", "rovio"]	["brand", "vlam", "hitte"]	["अग्नि", "ज्वाला", "अनल"]	["fiamma", "incendio", "focolare"]
point	point	point	Punkt	точка	点	punto	点	점	punkt	piste	punt	बिंदु	punto	['point', 'period', 'full stop', 'dot', 'stop', 'full point', 'score', 'item']	['point final', 'Points', 'points', 'nombre de points', 'score', 'entrée']	['Punkt', 'Scorerpunkt', 'Spielergebnis', 'Spielstand', 'Stichwort']	['точка', 'знак препина́ния', 'то́чка', 'очко́', 'счёт', 'результа́т', 'очко', 'очки', 'Очки', 'балл']	['丶部', '丶', '句号', '句點', '。', '句点', '句號', '得分', '分', '比分']	['punto', 'punto final', 'puntaje', 'puntuación', 'tantos', 'ítem', 'entrada']	['ポイント', '終止符', '句点', '点', 'ピリオド', '。', '得点', 'スコア']	['마침표', '포인트', '득점']	['punkt', 'skoor, punktiseis']	['piste', 'Piste', 'tehopiste', 'pistemäärä', 'Tehopiste', 'kohta']	['punt', 'puntkomma', 'dubbele punt', 'komma', 'oord', 'plaats', 'stand', 'doelpunt', 'locatie', 'winstpunt', 'tijdpunt', 'plek', 'exemplaar', 'artikel', 'object']	['दंड', 'पूर्ण विराम', '।', 'बिंदु']	['punto', 'punto fermo', 'stop', 'punteggio', 'voce', 'elemento']	['tip', 'edge', 'apex', 'vertex']	['pointe', 'endroit', 'lieu']	['Stelle', 'Ort', 'Spitze', 'Punkt']	['пункт', 'момент', 'вопрос']	['点子', '要点', '观点', '地点']	['lugar', 'sitio', 'momento', 'instante', 'grado']	['箇所', '地点', '先端', '得点']	["지점", "요점", "핵심", "득점"]	["koht", "tipp", "täpp"]	["kohta", "täplä"]	["spits", "top", "uiteinde"]	["नुक्ता", "बिन्दु"]	["puntino", "posizione", "luogo", "argomento"]
version	version	version	Version	версия	版本	versión	版	버전	versioon	versio	versie	संस्करण	versione	['version', 'translation', 'compilation', 'interlingual rendition', 'rendering', 'translated work', 'interpretation', 'reading']	['rendu', 'rendu graphique', 'traduction', 'interprétation']	['Rendern', 'Bildsynthese', 'Übersetzung', 'Kompilieren']	['перевод']	['翻譯', '翻译']	['renderización', 'traducción', 'confección', 'renderizado', 'compilación', 'interpretación']	['翻訳', '翻訳作品']	['번역', '번역물']	['tõlkimine', 'tõlge']	['käännös', 'kääntäminen', 'näkemys', 'sovitus', 'tulkinta']	['afbeelding', 'vertaling', 'weergave', 'vertalen', 'interpretatie']	['अनुवाद', 'रेंडर']	['resa grafica', 'rendering', 'traduzione', 'compilazione', 'versione', 'interpretazione']	['edition', 'variant', 'iteration', 'release']	['édition', 'variante', 'interprétation']	['Fassung', 'Ausführung', 'Variante', 'Ausgabe']	['вариант', 'редакция', 'интерпретация']	['版次', '版式', '型号']	['adaptación', 'interpretación', 'variante', 'modelo']	['バージョン', '改訂版', '型', '種類']	["판", "개정판", "판본", "판형"]	["variant", "teisend"]	["muunnelma", "painos"]	["editie", "variant", "uitgave"]	["रूपांतर", "संशोधन"]	["edizione", "variante", "interpretazione"]
ball	ball	balle	Ball	мяч	球	pelota	球	공	pall	pallo	bal	गेंद	palla	['ball', 'baseball', 'baseball game', 'association football ball', 'sphere', 'globe', 'orb', 'bullet', 'slug', 'Slug', 'formal', 'Football', 'football']	['baseball', 'ballon', 'balle', 'ballon de football', 'sphère', 'boule', 'projectile', 'bal', 'orbe', 'football', 'pelote', 'soccer', 'foot', 'globe']	['Baseball', 'Fußball', 'Kugel', 'Geschoss', 'Flugkörper', 'Projektil', 'Tanzball', 'Gestirn', 'Knäuel']	['бейсбол', 'мяч', 'футбольный мяч', 'шар', 'сфе́ра', 'сфера', 'пуля', 'пу́ля', 'снаря́д', 'бал', 'ногомя́ч', 'клубо́к', 'футбо́л']	['棒球', '棒球比赛', '球', '足球比赛用球', '球體', '球面', '球体', '球形', '枪弹', '子弹', '彈丸', '子彈', '枪子儿', '槍子兒', '槍子', '枪子', '舞会', '足球', '蹴球', '天体', '毛球', '球状物']	['béisbol', 'beisbol', 'baseball', 'pelota', 'bola', 'balón', 'pelota de fútbol', 'balón de fútbol', 'esfera', 'bala', 'proyectil', 'ojiva', 'baile', 'balón de fútbol americano', 'orbe', 'balompié', 'futbol', 'pambol', 'fútbol', 'balón-pie']	['野球', 'ボール', 'サッカーボール', '球', '球面', '球体', '弾丸', '銃弾', '弾', '舞踏会', '蹴球', 'サッカー', 'フットボール', '玉']	['야구', '공', '축구공', '구', '구체', '탄알', '총알', '무도회', '천체', '풋볼', '축구']	['pesapall', 'pall', 'kera', 'sfäär', 'Kuul', 'kuul', 'jalgpall']	['baseball', 'baseball-peli', 'pallo', 'jalkapallo', 'kehrä', 'ammus', 'luoti', 'kuula', 'tanssiaiset', 'Tanssiaiset', 'kerä', 'lankakerä', 'pyöreä kappale']	['honkbal', 'bal', 'voetbal', 'bol', 'kogel', 'geweerkogel', 'bolleke', 'bolletje', 'kluwen', 'wereldbol']	['बेसबॉल', 'गेंद', 'गोला', 'गोली', 'फुटबॉल', 'फ़ुटबॉल', 'फ़ुटबाल', 'फुटबाल']	['baseball', 'pallabase', 'partita di baseball', 'palla base', 'pallone', 'palla', 'pallone da calcio', 'sfera', 'pallottola', 'proiettile', 'ballo', 'veglione', 'palla da rugby', 'palla ovale', 'gomitolo', 'calcio', 'orbe', 'globo']	['sphere', 'orb', 'globe', 'round']	['ballon', 'boule', 'sphère']	['Kugel', 'Spielzeug', 'Tanzveranstaltung']	['шар', 'сфера']	['球体', '球类', '圆球']	['balón', 'esfera', 'bola', 'globo']	['ボール', '玉', '球体', '弾']	["구", "구체", "축구공", "야구공"]	["kera", "kuul"]	["kuula", "pallo"]	["bol", "kogel", "knikker"]	["गोला", "कंदुक"]	["sfera", "pallone", "ballo"]
painting	painting	peinture	Gemälde	картина	画	pintura	絵画	그림	maal	maalaus	schilderij	चित्र	dipinto	['painting', 'image', 'picture', 'artist', 'painter', 'art of painting']	['peinture', 'artiste peintre', 'peintre', 'image', 'tableau']	['Abbild', 'Maler', 'Darstellung', 'Gemälde', 'Malerei']	['картина', 'образ', 'живопись', 'жи́вопись']	['绘画', '畫作', '油漆', '繪畫', '画儿', '图画', '画']	['pintora', 'imagen', 'pintor', 'pintura', 'pintado', 'lienzo', 'cuadro', 'pintada']	['絵画', '画像', '画', 'タブロー', '絵画作品']	['회화']	['maal', 'maalimine', 'maalikunst']	['kuva', 'maalaustaide', 'maalaus', 'maalaaminen']	['schilder', 'verven', 'plaatje', 'schilderen', 'kunstschilder', 'afbeelding', 'schilderkunst', 'geschilder', 'schilderij', 'schilderstuk', 'schilderwerk', 'doek']	['चित्रकला']	['pittura', 'pittore', 'raffigurazione', 'immagine', 'dipinto', 'verniciatura', 'quadro']	['artwork', 'canvas', 'portrait', 'mural']	['tableau', 'toile', 'œuvre']	['Bild', 'Kunstwerk', 'Leinwand', 'Ölbild']	['полотно', 'холст', 'изображение']	['画作', '绘画', '图画', '油画']	['cuadro', 'lienzo', 'obra', 'retrato']	['画', '絵', '図画', '油絵']	["회화", "유화", "수채화", "화폭"]	["pilt", "kunstiteos"]	["taulu", "taideteos"]	["doek", "kunstwerk", "afbeelding"]	["पेंटिंग", "तस्वीर", "चित्रकला"]	["quadro", "tela", "opera"]
rice	rice	riz	Reis	рис	米	arroz	米	쌀	riis	riisi	rijst	चावल	riso	['rice', 'rice farmer', 'rice grower', 'Rice gadu']	['riziculteur', 'riz', 'riz paddy']	['Reis']	['рис']	['稻米', '米', '稻', '稻子']	['arroz']	['米', '稲']	['쌀', '벼']	['riis']	['riisi', 'riisikasvi']	['rijst', 'rijstboer', 'Aziatische rijst']	['चावल', 'तंडुल', 'धान', 'भात']	['riso', 'risicoltore', 'risicultore']	['grain', 'cereal', 'paddy']	[]	['Getreide', 'Korn']	[]	['稻米', '大米', '稻']	[]	['稲', '御飯', 'ライス', '穀物']	["밥", "벼", "곡식", "미곡"]	["teravili"]	[]	["graan", "korrel"]	["धान", "तंदुल", "शालि"]	["risotto", "risaia"]
red	red	rouge	rot	красный	红	rojo	赤	빨간색	punane	punainen	rood	लाल	rosso	['red', 'redness']	['rouge']	['Rot']	['красный', 'красный цвет', 'кра́сный']	['红色', '紅色']	['rojo', 'roja', 'rojez']	['赤']	['빨강', '빨간색']	['punane']	['punainen', 'punaisuus']	['rood', 'keel']	['लाल']	['rosso']	['crimson', 'scarlet', 'ruby', 'cardinal']	['vermeil', 'écarlate', 'pourpre']	['scharlachrot', 'purpurrot', 'karminrot', 'feuerrot']	['алый', 'багровый', 'румяный']	['红色', '赤', '朱红', '猩红']	['colorado', 'bermejo', 'escarlata', 'carmesí']	['赤色', '朱色', '紅', '赤い']	["적색", "붉은색", "주홍색", "진홍색"]	["verev", "ruuge"]	["verenpunainen", "tulipunainen"]	["roodkleurig", "vurig", "scharlaken"]	["रक्त", "अरुण", "सुर्ख"]	["vermiglio", "scarlatto", "cremisi", "porpora"]
