zh,en,zh_to_en_prob,en_to_zh_prob,fr,en_to_fr_prob,fr_to_en_prob,de,en_to_de_prob,de_to_en_prob,ru_x,en_to_ru_prob_x,ru_to_en_prob_x,ru_y,en_to_ru_prob_y,ru_to_en_prob_y
近,▁near,0.578125,0.92041016,▁près,0.5444336,0.80859375,▁nahe,0.51220703,0.7709961,▁бли,0.49365234,0.52246094,▁бли,0.49365234,0.52246094
在,▁in,0.25878906,0.9370117,▁dans,0.57910156,0.7607422,▁in,0.7631836,0.82958984,▁в,0.93066406,0.65234375,▁в,0.93066406,0.65234375
英,▁English,0.6948242,0.99365234,▁anglais,0.9116211,0.89697266,▁Eng,0.61035156,0.20703125,▁англий,0.9121094,0.82421875,▁англий,0.9121094,0.82421875
系,▁system,0.57910156,0.93066406,▁système,0.95703125,0.9609375,▁System,0.9770508,0.9506836,▁система,0.90527344,0.97021484,▁система,0.90527344,0.97021484
时,▁time,0.8540039,0.97216797,▁temps,0.86572266,0.94189453,▁Zeit,0.89501953,0.9819336,▁время,0.99072266,0.96875,▁время,0.99072266,0.96875
三,▁three,0.4404297,0.6791992,▁trois,0.78515625,0.76220703,▁drei,0.62890625,0.5913086,▁три,0.6464844,0.63671875,▁три,0.6464844,0.63671875
文,▁culture,0.115600586,0.96875,▁culture,0.94677734,0.94677734,▁Kultur,0.9550781,0.9770508,▁куль,0.99072266,0.56152344,▁куль,0.99072266,0.56152344
五,▁five,0.9199219,0.9785156,▁cinq,0.98583984,0.97753906,▁fünf,0.7885742,0.9790039,▁пя,0.9355469,0.8979492,▁пя,0.9355469,0.8979492
常,▁often,0.2548828,0.5083008,▁souvent,0.9296875,0.8642578,▁oft,0.8486328,0.95166016,▁часто,0.9580078,0.91503906,▁часто,0.9580078,0.91503906
全,▁all,0.31689453,0.6948242,▁tous,0.73828125,0.85302734,▁alle,0.7236328,0.93603516,▁все,0.8027344,0.7832031,▁все,0.8027344,0.7832031
