en,de,en_tok,de_tok,en_to_de_prob,de_to_en_prob
▁after,▁nach,1452,5104,0.6235,0.3403
▁again,▁wieder,1653,11776,0.2615,0.5303
▁against,▁gegen,2691,13930,0.4844,0.8066
▁age,▁Alter,3911,36844,0.739,0.7183
▁aggressive,▁aggres,28148,65891,0.729,0.5547
▁agrees,▁stimmt,39395,138057,0.1879,0.0804
▁agriculture,▁Landwirtschaft,20630,173601,0.5347,0.415
▁air,▁Luft,2681,36862,0.917,0.851
▁airport,▁Flughafen,16997,132057,0.533,0.6934
▁alcohol,▁Alkohol,12678,121513,0.3552,0.6924
▁algorithm,▁Alg,14685,38537,0.6016,0.2632
▁all,▁alle,832,4697,0.3794,0.7393
▁alliance,▁Allianz,34902,164611,0.8345,0.667
▁almost,▁fast,4461,4847,0.89,0.3535
▁alone,▁allein,6563,43876,0.717,0.904
▁along,▁entlang,3731,126595,0.3772,0.651
▁alphabetical,▁alphabe,101183,68796,0.8486,0.2069
▁already,▁schon,3303,13497,0.644,0.6445
▁also,▁auch,1170,4197,0.5938,0.5938
▁although,▁obwohl,7546,98742,0.1675,0.4236
▁always,▁immer,2593,11044,0.6177,0.723
▁amount,▁Menge,3619,55266,0.4976,0.2725
▁analysis,▁Analyse,4084,75850,0.585,0.546
▁anatomy,▁Anatom,49395,112643,0.429,0.286
▁anchor,▁Anker,29363,166947,0.5747,0.6914
▁and,▁und,578,930,0.78,0.892
▁angel,▁Engel,22448,49827,0.872,0.6943
▁anger,▁Zorn,23790,167971,0.2012,0.1364
▁angle,▁Winkel,9561,115092,0.598,0.5425
▁animal,▁Tier,8205,30360,0.881,0.8677
▁animals,▁Tiere,8398,93727,0.531,0.862
▁annually,▁jährlich,27825,151171,0.685,0.482
▁anonymous,▁anonym,35466,54309,0.3623,0.7017
▁answer,▁Antwort,3448,60908,0.2908,0.5864
▁any,▁irgende,1089,182617,0.0593,0.1696
▁apartments,▁Wohnungen,31402,177091,0.3914,0.4036
▁appear,▁erscheinen,4824,112833,0.227,0.573
▁appearance,▁Erscheinung,10819,191455,0.10956,0.718
▁appeared,▁erschien,9223,140053,0.2612,0.743
▁appears,▁erscheint,8149,86641,0.2163,0.688
▁appendix,▁Anhang,58505,197589,0.329,0.3325
▁apple,▁Apfel,15491,170035,0.6,0.79
▁architect,▁Architekt,19507,178525,0.6675,0.791
▁architects,▁Architekten,55484,199639,0.4924,0.7915
▁architecture,▁Architektur,16333,138573,0.4531,0.6636
▁archive,▁Archiv,34336,45808,0.2152,0.574
▁are,▁sind,708,5425,0.8184,0.588
▁area,▁Gebiet,2713,91422,0.1284,0.424
▁areas,▁Gebiete,4516,155885,0.3704,0.4521
▁army,▁Armee,12211,138864,0.1478,0.676
▁around,▁um,2449,2378,0.612,0.2184
▁arrival,▁Ankunft,18553,212481,0.637,0.856
▁arrow,▁Pfe,9702,54231,0.872,0.03873
▁art,▁Kunst,3096,28834,0.6494,0.6953
▁artificial,▁künst,18225,166686,0.4446,0.583
▁artist,▁Künstler,9161,74179,0.43,0.753
▁asks,▁fragt,19619,167116,0.327,0.6226
▁aspects,▁Aspekte,12464,183729,0.4707,0.6416
▁association,▁Verein,14329,62280,0.1282,0.4924
▁at,▁an,696,671,0.365,0.2695
▁atmosphere,▁Atmosphäre,13795,136977,0.3306,0.844
▁attack,▁Angriff,6279,160580,0.718,0.752
▁attempt,▁Versuch,8697,97266,0.4692,0.3325
▁attempts,▁Versuche,18664,155052,0.671,0.3076
▁attributes,▁Attribute,16258,42682,0.1586,0.3757
▁auction,▁Auk,27788,134261,0.293,0.572
▁audience,▁Publikum,12207,124723,0.3455,0.4963
▁authentic,▁authenti,17660,103610,0.3113,0.4824
▁author,▁Autor,3426,33641,0.731,0.771
▁authorities,▁Behörden,13337,160169,0.088,0.1786
▁authors,▁Autoren,11646,118951,0.6685,0.633
▁automatic,▁automat,17234,8229,0.2925,0.2406
▁automatically,▁automatisch,11650,80374,0.5957,0.4827
▁autumn,▁Herbst,22119,81439,0.5015,0.5444
▁available,▁verfügbar,2506,83971,0.1896,0.776
▁average,▁Durchschnitt,5316,218057,0.4834,0.613
▁avoid,▁vermeiden,6858,113926,0.11774,0.6875
▁babies,▁Babys,25675,165024,0.6626,0.563
▁back,▁zurück,1355,22164,0.2275,0.6553
▁background,▁Hintergrund,3824,92990,0.5293,0.7363
▁bacteria,▁Bakterien,21920,232416,0.836,0.8105
▁bad,▁schlecht,3338,106686,0.3684,0.7007
▁bag,▁Tasche,4079,197841,0.5884,0.6187
▁bake,▁backen,44528,214963,0.6343,0.645
▁ball,▁Kugel,5744,160515,0.551,0.6978
▁balloon,▁Ballon,36977,177112,0.2769,0.656
▁barn,▁Stall,24107,86425,0.47,0.2842
▁base,▁Basis,3222,46145,0.2764,0.3157
▁basin,▁Becken,31725,158064,0.2423,0.4082
▁bath,▁Bade,7968,77580,0.2847,0.534
▁battery,▁Batterie,10780,118799,0.76,0.6113
▁battle,▁Schlacht,9509,140033,0.4155,0.6294
▁beach,▁Strand,8318,50593,0.784,0.6426
▁bean,▁Bohn,24328,174727,0.4004,0.4517
▁bear,▁Bär,8718,183274,0.473,0.461
▁beautiful,▁schön,4964,45481,0.78,0.527
▁beauty,▁Schönheit,9281,141013,0.3862,0.7363
▁because,▁weil,1861,25144,0.3542,0.724
▁bed,▁Bett,3609,71343,0.882,0.9253
▁beds,▁Betten,19800,209164,0.603,0.521
▁beer,▁Bier,15052,64404,0.8623,0.851
▁before,▁vor,1794,5292,0.6724,0.5654
▁began,▁begann,6343,95051,0.638,0.6353
▁beginners,▁Anfänger,50783,221812,0.653,0.4824
▁beginning,▁Anfang,7489,49635,0.3044,0.634
▁begins,▁beginnt,13389,82447,0.5474,0.5103
▁behavior,▁Verhalten,8409,102457,0.4424,0.4502
▁behind,▁hinter,5470,27496,0.627,0.747
▁believe,▁glauben,4564,98570,0.8228,0.6123
▁believes,▁glaubt,19267,162764,0.8433,0.4978
▁bell,▁Glock,20116,91605,0.603,0.5156
▁belly,▁Bauch,35299,132964,0.8506,0.3994
▁belong,▁gehören,8070,67973,0.4597,0.4993
▁belongs,▁gehört,17239,48014,0.8677,0.5674
▁best,▁beste,1963,18632,0.1127,0.702
▁better,▁besser,2525,39393,0.8086,0.8096
▁between,▁zwischen,1865,20314,0.7827,0.85
▁big,▁groß,2824,31699,0.8027,0.591
▁bigger,▁größer,14739,95405,0.6235,0.3699
▁bike,▁Rad,10947,14901,0.3738,0.3125
▁bill,▁Rechnung,9350,114045,0.08795,0.4019
▁biological,▁biolog,21871,62415,0.866,0.4387
▁bird,▁Vogel,13170,71156,0.7393,0.9097
▁birds,▁Vögel,13141,204562,0.725,0.913
▁birth,▁Geburt,5951,119256,0.757,0.898
▁birthday,▁Geburtstag,10043,100859,0.944,0.748
▁bishop,▁Bischof,50322,120038,0.6943,0.6597
▁black,▁schwarz,2656,30936,0.885,0.8706
▁blessed,▁gese,27109,192634,0.603,0.03757
▁blood,▁Blut,5330,55273,0.953,0.852
▁blue,▁blau,3868,56546,0.8535,0.9023
▁boat,▁Boot,11390,25355,0.4795,0.7847
▁body,▁Körper,2971,44941,0.2856,0.866
▁bomb,▁Bom,16499,33742,0.7095,0.704
▁bones,▁Knochen,22241,145987,0.796,0.5503
▁book,▁Buch,2870,25167,0.8257,0.8335
▁books,▁Bücher,6142,89453,0.7827,0.8486
▁border,▁Grenze,9994,131823,0.656,0.7705
▁borders,▁Grenzen,31127,104334,0.213,0.316
▁born,▁geboren,7565,74424,0.5376,0.886
▁both,▁beide,2145,49264,0.77,0.798
▁bottle,▁Flasche,12989,211751,0.6934,0.804
▁boys,▁Jungen,10194,157138,0.3672,0.5845
▁brain,▁Gehirn,9494,201219,0.509,0.787
▁branch,▁Zweig,12832,207642,0.3538,0.7466
▁brass,▁Messing,25399,234330,0.243,0.10297
▁bread,▁Brot,11843,123942,0.9053,0.853
▁breakfast,▁Frühstück,14457,139005,0.563,0.866
▁breast,▁Brust,14665,103244,0.884,0.48
▁breath,▁Atem,10690,131417,0.672,0.678
▁bride,▁Braut,26094,168708,0.7065,0.576
▁bridge,▁Brücke,12261,150872,0.3035,0.889
▁bridges,▁Brücken,37376,230528,0.3818,0.536
▁brilliant,▁brillant,21507,121257,0.1029,0.542
▁bring,▁bringen,4347,49758,0.4397,0.531
▁brings,▁bringt,14042,67733,0.8125,0.6733
▁brook,▁Bach,66650,31450,0.4072,0.2954
▁brother,▁Bruder,8462,92480,0.8237,0.8726
▁brothers,▁Brüder,18388,150930,0.547,0.853
▁brought,▁brachte,6293,113307,0.4204,0.777
▁brown,▁braun,8426,83451,0.566,0.7183
▁build,▁bauen,2500,119107,0.644,0.4377
▁builds,▁baut,32336,158254,0.3142,0.319
▁built,▁gebaut,6233,124180,0.292,0.749
▁burn,▁bren,8466,142762,0.485,0.2744
▁bush,▁Busch,31373,96593,0.1693,0.5103
▁but,▁aber,901,7111,0.6235,0.7476
▁button,▁Knopf,6086,130612,0.5996,0.4978
▁buy,▁kaufen,4631,44841,0.787,0.4583
▁buyer,▁Käufer,23682,210423,0.1986,0.7373
▁cable,▁Kabel,11871,84646,0.6343,0.767
▁cake,▁Kuchen,11514,148231,0.736,0.816
▁calculated,▁berechnet,11985,186374,0.3135,0.4336
▁calendar,▁Kalender,16684,156582,0.644,0.6387
▁calls,▁ruft,9712,181381,0.3386,0.278
▁came,▁kam,3392,11130,0.829,0.6846
▁camel,▁Kame,49291,135135,0.1304,0.1879
▁camera,▁Kamera,7909,100965,0.573,0.7397
▁can,▁kann,798,7627,0.7563,0.69
▁canal,▁Kanal,20644,134209,0.6035,0.507
▁capital,▁Hauptstadt,6037,181928,0.3162,0.724
▁captain,▁Kapit,22188,197836,0.413,0.255
▁captured,▁gefangen,23535,234448,0.303,0.226
▁car,▁Auto,1226,6033,0.4688,0.7954
▁care,▁Pflege,2212,74257,0.08026,0.6562
▁career,▁Karriere,7460,118841,0.2969,0.6733
▁careful,▁vorsichtig,15136,199237,0.1637,0.2998
▁carried,▁getragen,8405,138422,0.1442,0.4873
▁carries,▁trägt,27250,89357,0.3318,0.4275
▁carry,▁tragen,6383,71578,0.3687,0.3845
▁cars,▁Autos,9446,82162,0.6445,0.7676
▁cases,▁Fälle,4381,121431,0.3833,0.759
▁castle,▁Burg,24868,26438,0.3416,0.8057
▁cat,▁Katze,4401,188484,0.9424,0.866
▁catalogue,▁Katalog,37072,111496,0.616,0.4324
▁categories,▁Kategorien,14486,157714,0.7065,0.6475
▁category,▁Kategorie,9701,120920,0.7563,0.683
▁cats,▁Katzen,19493,131423,0.4458,0.6514
▁cattle,▁Vie,22764,35694,0.206,0.1619
▁causes,▁verursacht,10792,183179,0.1356,0.5186
▁celebration,▁Feier,24495,117284,0.3042,0.1998
▁cell,▁Zelle,3027,189605,0.7075,0.7075
▁cells,▁Zellen,5999,150153,0.638,0.7764
▁cemetery,▁Friedhof,52678,171856,0.438,0.66
▁center,▁Zentrum,5086,105748,0.3542,0.565
▁centuries,▁Jahrhunder,24357,71169,0.5522,0.339
▁century,▁Jahrhundert,7861,63800,0.6167,0.624
▁chain,▁Kette,9488,212516,0.5073,0.6836
▁chairman,▁Vorsitzender,24249,185457,0.323,0.3896
▁challenge,▁Herausforderung,10247,170714,0.1584,0.8096
▁chances,▁Chancen,21581,186605,0.736,0.6772
▁change,▁ändern,2669,78919,0.1388,0.698
▁changed,▁geändert,7052,144636,0.2479,0.4797
▁chapel,▁Kapelle,49344,211879,0.1755,0.4324
▁chapter,▁Kapitel,6476,109895,0.6084,0.645
▁cheap,▁billig,12131,181883,0.531,0.824
▁cheese,▁Käse,13624,185121,0.8237,0.813
▁chess,▁Schach,40559,181220,0.6206,0.6484
▁child,▁Kind,2047,11392,0.6616,0.8096
▁childhood,▁Kindheit,20790,210336,0.3545,0.89
▁children,▁Kinder,3069,18559,0.735,0.8345
▁choir,▁Chor,58258,52641,0.3655,0.608
▁choose,▁wählen,6475,89651,0.2473,0.3894
▁church,▁Kirche,8068,42795,0.4683,0.848
▁cinema,▁Kino,27840,119810,0.594,0.6606
▁circles,▁Kreise,26486,216795,0.6543,0.16
▁cities,▁Städte,11090,108477,0.512,0.646
▁citizen,▁Bürger,24992,43790,0.547,0.606
▁city,▁Stadt,3413,18759,0.291,0.6665
▁class,▁Klasse,1062,72304,0.9126,0.7153
▁classes,▁Klassen,8250,108467,0.654,0.3706
▁clean,▁sauber,3903,132256,0.5576,0.8506
▁clear,▁klar,3110,35189,0.1232,0.7397
▁clearly,▁deutlich,8886,54863,0.3367,0.405
▁click,▁klick,5499,176499,0.4688,0.836
▁climate,▁Klima,11662,80179,0.4934,0.717
▁climb,▁steigen,14252,184030,0.1521,0.2544
▁clinic,▁Klinik,26682,113525,0.5464,0.3755
▁clone,▁Klon,28212,221576,0.3218,0.2546
▁closed,▁geschlossen,7337,107688,0.5464,0.8647
▁closes,▁schließt,44646,181324,0.3867,0.5435
▁cloth,▁Stoff,17997,92043,0.2183,0.2268
▁clothes,▁Kleider,12565,204704,0.2542,0.6143
▁clothing,▁Kleidung,14328,160213,0.2195,0.4045
▁clouds,▁Wolken,20828,189660,0.669,0.685
▁coal,▁Koh,16131,45447,0.7017,0.3015
▁coast,▁Küste,10324,211865,0.3135,0.5625
▁coat,▁Mantel,13618,82794,0.507,0.4087
▁cock,▁Hahn,16728,87446,0.4443,0.4294
▁coffee,▁Kaffee,8423,100928,0.4673,0.79
▁coin,▁Mün,15005,26445,0.0685,0.10504
▁cold,▁kalt,7033,120334,0.8438,0.882
▁colleagues,▁Kollegen,22335,132638,0.5933,0.532
▁collect,▁sammeln,9951,151724,0.4736,0.4216
▁collected,▁gesammelt,12184,170861,0.2157,0.752
▁collection,▁Sammlung,5488,55689,0.2808,0.7305
▁colony,▁Kol,34623,27641,0.337,0.10175
▁color,▁Farbe,2881,62598,0.789,0.5713
▁colors,▁Farben,9276,71392,0.8965,0.4495
▁combination,▁Kombination,11137,106985,0.2817,0.6504
▁come,▁kommen,2063,27397,0.4407,0.472
▁comes,▁kommt,4549,26641,0.7837,0.538
▁comfort,▁Komfort,11852,155645,0.4395,0.7456
▁comfortable,▁bequem,10750,140070,0.2908,0.3943
▁command,▁Befehl,5017,160204,0.64,0.3865
▁comment,▁Kommentar,4986,104444,0.8145,0.7393
▁comments,▁Kommentare,4703,87250,0.363,0.7314
▁commission,▁Kommission,11274,159721,0.3032,0.3435
▁committee,▁Aussch,11677,117443,0.1366,0.07825
▁communication,▁Kommunikation,9228,106172,0.3193,0.6313
▁compact,▁kompakt,18399,193089,0.4663,0.8325
▁company,▁Firma,3277,70907,0.1564,0.629
▁compare,▁vergleichen,12711,192171,0.2489,0.703
▁comparison,▁Vergleich,11482,62067,0.5034,0.5723
▁compatible,▁kompatibel,19883,206946,0.7715,0.6455
▁compete,▁konkur,26046,83321,0.0838,0.1549
▁competent,▁kompet,33295,72265,0.503,0.2164
▁competition,▁Wettbewerb,11010,178211,0.569,0.702
▁complaint,▁Klage,19437,162720,0.1749,0.283
▁complaints,▁Beschwerden,25109,197490,0.3433,0.6963
▁completely,▁ganz,7322,17931,0.2312,0.2275
▁complex,▁Komplex,5766,226749,0.6206,0.713
▁components,▁Komponenten,8832,170225,0.3616,0.709
▁composer,▁Komponist,41905,192893,0.626,0.8794
▁concentrate,▁konzent,36570,134811,0.423,0.2737
▁concept,▁Konzept,7819,122441,0.285,0.731
▁concerns,▁betrifft,10906,143828,0.11194,0.4429
▁concert,▁Konzert,20227,139998,0.669,0.8228
▁concrete,▁Beton,13660,136811,0.527,0.571
▁condition,▁Zustand,4913,87176,0.479,0.423
▁conditions,▁Bedingungen,4202,94646,0.4895,0.5967
▁conference,▁Konferenz,11982,231401,0.2769,0.5435
▁confirm,▁bestätigen,10508,188179,0.3867,0.6646
▁confirmed,▁bestätigt,12392,133927,0.1832,0.6777
▁conflict,▁Konflikt,13896,211415,0.338,0.696
▁connect,▁verbinden,9616,130638,0.5107,0.506
▁connected,▁verbunden,9279,77614,0.6216,0.448
▁connection,▁Verbindung,6653,47741,0.395,0.486
▁connections,▁Verbindungen,17922,169392,0.3357,0.4993
▁consists,▁besteht,13569,46522,0.7144,0.3938
▁constitution,▁Verfassung,24373,193024,0.4458,0.562
▁consultation,▁Beratung,25013,87424,0.2018,0.3237
▁consumption,▁Verbrauch,14072,194800,0.4648,0.612
▁contact,▁Kontakt,3764,52011,0.61,0.78
▁contacts,▁Kontakte,22290,198922,0.395,0.521
▁contain,▁enthalten,2888,47081,0.519,0.4133
▁contains,▁enthält,7744,61349,0.4622,0.727
▁content,▁Inhalt,3381,71048,0.764,0.5093
▁context,▁Kontext,4807,122849,0.3037,0.7266
▁continuous,▁kontinuier,14194,199007,0.08185,0.4333
▁contract,▁Vertrag,7613,103501,0.4834,0.6035
▁contribution,▁Beitrag,15707,69577,0.3513,0.4587
▁contributions,▁Beiträge,16426,92210,0.2793,0.5996
▁control,▁Kontrolle,2582,126746,0.2048,0.6274
▁conversation,▁Gespräch,12836,91350,0.10333,0.596
▁conversations,▁Gespräche,30893,209303,0.5054,0.3882
▁convinced,▁überzeugt,25785,136095,0.4023,0.599
▁cook,▁Koch,3425,45769,0.5566,0.652
▁cooperation,▁Zusammenarbeit,18398,86444,0.0847,0.4521
▁coordinates,▁Koordin,23706,194919,0.6753,0.4358
▁copper,▁Kupfer,17410,138393,0.674,0.7446
▁core,▁Kern,8131,57684,0.8086,0.4944
▁cork,▁Kork,71909,187736,0.2113,0.0849
▁corner,▁Ecke,10429,165794,0.5737,0.8423
▁costs,▁kostet,6331,115998,0.3066,0.758
▁cotton,▁Baumwolle,12278,220527,0.506,0.8994
▁council,▁Rat,16084,13594,0.2076,0.4158
▁countries,▁Länder,5605,100099,0.8164,0.764
▁courage,▁Mut,20065,21535,0.595,0.3196
▁course,▁Kurs,3205,71599,0.3364,0.668
▁courses,▁Kurse,12263,224240,0.4211,0.5825
▁court,▁Gericht,4624,114781,0.1155,0.5723
▁cow,▁Kuh,13910,133060,0.6846,0.889
▁cream,▁Sahne,9450,233087,0.559,0.771
▁creative,▁kreativ,12354,140088,0.6147,0.837
▁credit,▁Kredit,6927,105555,0.3032,0.3628
▁crime,▁Verbrechen,12476,228044,0.2727,0.762
▁crisis,▁Krise,12683,201723,0.5576,0.7563
▁criticism,▁Kritik,23799,99765,0.7417,0.4084
▁cross,▁Kreuz,4972,68247,0.7744,0.698
▁crown,▁Krone,17372,153492,0.6777,0.631
▁cult,▁Kult,31118,91677,0.376,0.2808
▁culture,▁Kultur,6981,44681,0.7305,0.667
▁cup,▁Tasse,7190,222243,0.8535,0.766
▁customer,▁Kunde,6650,127398,0.82,0.682
▁customers,▁Kunden,7138,39927,0.4006,0.7407
▁customs,▁Sitten,28458,206936,0.1483,0.3
▁cut,▁schneiden,3652,162049,0.1086,0.5264
▁daily,▁täglich,7074,88081,0.508,0.4436
▁damage,▁Schaden,7042,115371,0.3567,0.6304
▁damages,▁Schäden,23918,179231,0.2698,0.4343
▁dance,▁Tanz,11877,38879,0.3838,0.8174
▁danger,▁Gefahr,8416,93695,0.736,0.8345
▁dangerous,▁gefährlich,13541,194575,0.7715,0.8154
▁dark,▁dunkel,4868,101795,0.3193,0.899
▁data,▁Daten,1423,24343,0.587,0.727
▁database,▁Datenbank,8746,90193,0.639,0.5986
▁date,▁Datum,3209,86793,0.3594,0.7793
▁daughter,▁Tochter,8531,77445,0.6143,0.9097
▁daughters,▁Töchter,28154,228688,0.6465,0.701
▁day,▁Tag,1744,10634,0.86,0.8325
▁days,▁Tage,2705,35286,0.845,0.9175
▁dead,▁tot,5455,6734,0.6475,0.8228
▁death,▁Tod,4168,7004,0.882,0.7554
▁debt,▁Schuld,13040,112314,0.5796,0.2028
▁decided,▁entschieden,7697,126506,0.228,0.5664
▁decision,▁Entscheidung,4530,83194,0.1536,0.776
▁decisions,▁Entscheidungen,12013,174191,0.5986,0.7363
▁deep,▁tief,5271,79242,0.7417,0.831
▁deeper,▁tiefer,22583,144316,0.5684,0.535
▁deer,▁Hirsch,26932,78264,0.3804,0.3647
▁defensive,▁defensi,29222,230600,0.12317,0.37
▁defined,▁definiert,6908,193813,0.339,0.5747
▁degree,▁Grad,7151,58802,0.9043,0.5054
▁delete,▁löschen,8958,170140,0.369,0.6924
▁delivered,▁geliefert,13245,172062,0.125,0.6455
▁delivery,▁Lieferung,8335,134870,0.3062,0.7
▁democracy,▁Demokratie,25886,213847,0.6494,0.728
▁democratic,▁demokrat,32376,149594,0.6772,0.605
▁depth,▁Tiefe,10624,144514,0.794,0.566
▁describe,▁beschreiben,12637,205601,0.531,0.4895
▁described,▁beschrieben,6547,117700,0.5576,0.7256
▁describes,▁beschreibt,19306,192928,0.4832,0.7124
▁description,▁Beschreibung,5966,77863,0.7456,0.55
▁design,▁Entwurf,2480,192094,0.1929,0.3452
▁despite,▁trotz,12391,58358,0.518,0.656
▁destroyed,▁zerstört,17726,198959,0.4277,0.852
▁determination,▁Bestimmung,17564,130850,0.1321,0.223
▁determine,▁bestimmen,8363,145355,0.2834,0.3733
▁determined,▁bestimmt,8245,72855,0.2124,0.1135
▁develop,▁entwickeln,2115,106118,0.519,0.5493
▁developed,▁entwickelt,6990,73247,0.339,0.652
▁development,▁Entwicklung,3505,37515,0.3623,0.659
▁deviation,▁Abweich,25760,216838,0.433,0.3145
▁device,▁Gerät,6064,80742,0.312,0.374
▁devil,▁Teufel,29137,167153,0.5664,0.5967
▁diagnosis,▁Diagnose,19491,155028,0.5845,0.518
▁dialogue,▁Dialog,25085,27002,0.1743,0.2279
▁diameter,▁Durchmesser,13779,150255,0.5015,0.7783
▁diamond,▁Diam,19419,52525,0.717,0.3896
▁died,▁starb,7404,147441,0.4365,0.831
▁difference,▁Unterschied,5830,97692,0.6206,0.5806
▁differences,▁Unterschiede,10216,159092,0.6396,0.7485
▁different,▁verschieden,2167,128630,0.366,0.6973
▁difficult,▁schwierig,5988,132204,0.4612,0.713
▁difficulties,▁Schwierigkeiten,19086,151154,0.444,0.4358
▁difficulty,▁Schwier,15053,110404,0.4507,0.3167
▁diploma,▁Diplom,41260,78274,0.5566,0.3418
▁direction,▁Richtung,6581,64433,0.834,0.7095
▁directly,▁direkt,6673,32642,0.6562,0.589
▁director,▁Direktor,8453,149567,0.2595,0.7544
▁discount,▁Rabatt,15144,194498,0.523,0.829
▁discovered,▁entdeckt,13437,151470,0.3535,0.6724
▁discuss,▁disku,9742,114742,0.371,0.275
▁discussion,▁Diskussion,8827,120141,0.2856,0.6323
▁disease,▁Krankheit,7197,115746,0.7983,0.3315
▁diseases,▁Krankheiten,16011,172584,0.7046,0.6245
▁dispute,▁Streit,26534,112521,0.535,0.373
▁distance,▁Entfernung,6075,138873,0.237,0.803
▁distributed,▁verteilt,15474,194725,0.3252,0.4175
▁distribution,▁Verteilung,7107,230941,0.446,0.7026
▁diversity,▁Vielfalt,19871,179473,0.372,0.4272
▁doctor,▁Arzt,9353,88386,0.7505,0.862
▁doctors,▁Ärzte,20671,161923,0.6226,0.761
▁document,▁Dokument,4551,81149,0.1838,0.694
▁documentation,▁Dokumentation,18312,196781,0.3315,0.3572
▁documents,▁Dokumente,10817,186750,0.6035,0.6914
▁dog,▁Hund,5929,63438,0.914,0.932
▁dogs,▁Hunde,12075,116873,0.5474,0.8286
▁donations,▁Spenden,31162,104675,0.2588,0.513
▁done,▁fertig,3015,85700,0.406,0.3494
▁door,▁Tür,4444,28226,0.392,0.8867
▁doors,▁Türen,13076,178513,0.661,0.8296
▁dose,▁Dosis,17050,203597,0.2551,0.7246
▁double,▁Doppel,4199,80483,0.512,0.474
▁down,▁runter,1706,189025,0.11304,0.743
▁dragon,▁Dra,17219,11579,0.6235,0.0609
▁draw,▁zeichnen,4297,180979,0.606,0.4324
▁drawing,▁Zeich,10478,103917,0.4097,0.2251
▁draws,▁zeichnet,33184,200565,0.1316,0.3403
▁dream,▁Traum,6523,86163,0.7856,0.8857
▁dressed,▁gekle,25716,188067,0.2458,0.1531
▁dried,▁getrock,22575,233503,0.259,0.6655
▁drink,▁trinken,7182,154508,0.904,0.5454
▁driver,▁Fahrer,8569,123895,0.5464,0.849
▁drives,▁fährt,24534,146346,0.564,0.2656
▁drop,▁Tropfen,7605,225815,0.455,0.6763
▁drove,▁fuhr,26269,169199,0.3677,0.3633
▁drugs,▁Drogen,13970,232609,0.2622,0.679
▁dry,▁trocken,6050,144481,0.5747,0.9004
▁duck,▁Ente,29828,182016,0.2281,0.2174
▁duke,▁Herzog,63368,71118,0.312,0.2461
▁duration,▁Dauer,14827,92327,0.531,0.4216
▁during,▁während,2290,27692,0.5884,0.4482
▁dust,▁Staub,12891,131749,0.7793,0.6963
▁duty,▁Pflicht,10272,130757,0.1367,0.716
▁dynamic,▁dyna,12415,7894,0.477,0.1193
▁eagle,▁Adler,37888,78988,0.602,0.415
▁ear,▁Ohr,2007,131684,0.781,0.871
▁earlier,▁früher,7910,57260,0.575,0.285
