en,zh,en_tok,zh_tok,en_to_zh_prob,zh_to_en_prob
▁finger,指,19917,31084,0.3916,0.5073
▁fire,火,3974,31313,0.739,0.822
▁five,五,5320,30904,0.5654,0.1869
▁flow,流,4972,31151,0.19,0.2542
▁flower,花,28149,30830,0.6445,0.7695
▁foot,足,3661,31722,0.1892,0.606
▁for,为,363,30573,0.1027,0.3079
▁forest,森,13569,31484,0.2489,0.7227
▁four,四,3023,30928,0.7354,0.812
▁from,从,515,31594,0.1772,0.577
▁fruit,果,15774,30801,0.1768,0.687
▁get,得,679,31050,0.1575,0.1859
▁give,给,2367,31999,0.317,0.355
▁go,去,748,31475,0.3926,0.3462
▁god,神,7339,30648,0.398,0.685
▁gold,金,7684,30659,0.4517,0.4392
▁good,好,1781,31076,0.7236,0.515
▁grass,草,17455,31710,0.598,0.674
▁guard,守,8372,31703,0.141,0.2379
▁guest,客,17838,31915,0.4133,0.6914
▁hall,堂,12713,31338,0.1764,0.4915
▁hand,手,1361,30880,0.6064,0.8193
▁have,有,505,30417,0.4907,0.3188
▁head,头,2343,31584,0.5093,0.696
▁health,健,9045,31863,0.2861,0.547
▁heart,心,5192,30869,0.7114,0.56
▁heavy,重,9416,30908,0.474,0.2856
▁high,高,1880,30528,0.4624,0.404
▁hit,打,7124,31656,0.2322,0.1952
▁hope,希,4966,31841,0.426,0.26
▁horse,马,10435,31530,0.792,0.8003
▁house,房,3699,31975,0.14,0.3767
▁hundred,百,6893,31047,0.52,0.851
▁husband,夫,10216,31176,0.1964,0.8306
▁inside,内,2768,30728,0.3125,0.4353
▁is,是,338,30392,0.5654,0.6016
▁judge,判,16833,31791,0.301,0.2893
▁king,王,6989,30462,0.3962,0.6465
▁know,知,1073,31043,0.7246,0.4783
▁lake,湖,19437,31496,0.5454,0.819
▁lambda,λ,14013,30142,0.273,0.1903
▁language,语,4086,31505,0.5347,0.556
▁law,法,4307,30545,0.544,0.6455
▁left,左,2175,31651,0.5884,0.8247
▁life,生,2834,30486,0.3228,0.1663
▁limit,限,4046,31175,0.4187,0.384
▁line,线,1196,31532,0.2717,0.607
▁long,长,1472,31143,0.6987,0.602
▁lost,失,5714,31369,0.233,0.2349
▁machine,机,4933,31429,0.5522,0.496
▁main,主,1667,30888,0.2583,0.10297
▁man,男,767,31203,0.3914,0.3032
▁management,管,10643,31624,0.3438,0.1197
▁many,多,1784,30923,0.4387,0.4265
▁meeting,会,11781,30437,0.52,0.454
▁middle,中,7256,30275,0.4575,0.434
▁mistake,错,10171,31745,0.3813,0.4475
▁model,模,1904,31382,0.3096,0.4294
▁moon,月,18786,30534,0.786,0.4307
▁mother,母,5637,31763,0.4636,0.8228
▁mountain,山,14378,30329,0.6753,0.8267
▁mouth,口,13394,30856,0.52,0.789
▁move,移,4337,31618,0.1443,0.3767
▁museum,博,19133,31196,0.6064,0.1409
▁must,必,1818,31641,0.25,0.6704
▁name,名,1024,30548,0.3176,0.656
▁near,近,2978,31830,0.34,0.4712
▁need,需,817,31383,0.3528,0.4336
▁net,网,7787,31222,0.767,0.3608
▁new,新,716,30374,0.7295,0.1797
▁night,夜,4646,31390,0.702,0.8545
▁nine,九,14183,31321,0.806,0.832
▁north,北,6641,30662,0.7905,0.7534
▁not,不,451,30413,0.7295,0.6206
▁number,数,1353,30354,0.288,0.6406
▁of,的,310,30210,0.2837,0.4148
▁old,老,2030,31506,0.374,0.656
▁one,一,697,30287,0.63,0.793
▁only,只,871,31557,0.3616,0.6753
▁open,开,1722,31026,0.6787,0.3025
▁or,或,470,31391,0.4429,0.69
▁original,原,2441,30667,0.2372,0.2334
▁out,出,714,30544,0.2595,0.1442
▁outside,外,5377,31066,0.5596,0.411
▁over,过,975,31138,0.11035,0.1931
▁page,页,1813,31610,0.409,0.739
▁people,人,2305,30313,0.4133,0.4146
▁picture,画,7623,31046,0.1937,0.3198
▁plain,平,8656,30606,0.338,0.204
▁please,请,3113,31088,0.8013,0.6465
▁politics,政,22661,31014,0.661,0.2188
▁position,位,2602,30956,0.2449,0.2385
▁power,力,3081,31074,0.1794,0.3574
▁present,现,2198,31424,0.4116,0.2168
▁project,项,2060,31888,0.343,0.108
▁protect,保,12566,30982,0.6533,0.1282
▁province,省,12291,31600,0.2102,0.49
▁public,公,970,30539,0.5244,0.341
▁pull,拉,8206,31543,0.255,0.09283
▁question,问,1139,31658,0.892,0.492
▁record,记,2407,31410,0.4353,0.3818
▁red,红,2654,31869,0.6294,0.7246
▁research,研,5925,31367,0.5723,0.3943
▁return,返,736,31086,0.2063,0.3438
▁rice,米,19408,31902,0.4866,0.731
▁rich,富,8261,31730,0.4087,0.4666
▁right,右,1492,31803,0.2178,0.856
▁river,河,8580,30828,0.4092,0.7715
▁road,路,6520,30874,0.546,0.5728
▁root,根,3876,31393,0.48,0.6743
▁same,同,1021,30980,0.4258,0.4744
▁sand,沙,11982,31476,0.663,0.674
▁say,说,1827,31639,0.6025,0.2988
▁school,学,3762,30415,0.289,0.559
▁science,科,10466,31030,0.615,0.405
▁sea,海,7205,30581,0.713,0.8193
▁self,自,1583,30688,0.3804,0.4006
▁seven,七,9881,31425,0.7065,0.813
▁shadow,影,15504,31619,0.515,0.561
▁shape,形,8267,31305,0.4846,0.3462
▁shop,店,18296,31758,0.274,0.583
▁should,应,881,31370,0.3047,0.4167
▁single,单,2323,31166,0.3335,0.2382
▁six,六,4832,31304,0.6606,0.74
▁sky,天,14744,30408,0.778,0.4536
▁small,小,2319,30446,0.702,0.422
▁snow,雪,15007,31731,0.629,0.887
▁society,社,12459,30564,0.3218,0.567
▁solution,解,1650,31201,0.3215,0.1641
▁song,歌,4823,31173,0.5317,0.687
▁source,源,2752,31193,0.287,0.258
▁south,南,7062,30601,0.8374,0.7373
▁special,特,4266,31141,0.376,0.3716
▁spring,春,6709,31031,0.724,0.859
▁star,星,5810,30900,0.678,0.86
▁station,站,5073,31433,0.405,0.676
▁still,还,1603,31994,0.413,0.1813
▁stone,石,12565,30814,0.7183,0.776
▁straight,直,7812,31157,0.4124,0.5063
▁strange,奇,8515,31984,0.3535,0.1688
▁street,街,11952,30813,0.335,0.7354
▁success,成,2551,30494,0.3772,0.1414
▁summer,夏,11801,31241,0.798,0.822
▁super,超,2428,31480,0.2776,0.1548
▁support,支,2304,31541,0.511,0.2578
▁sure,确,1854,31835,0.1604,0.2197
▁symbol,符,5829,31277,0.2208,0.10266
▁system,系,1788,31185,0.1552,0.4832
▁tail,尾,12464,31631,0.846,0.4355
▁talent,才,24242,31979,0.3044,0.2065
▁tea,茶,23429,31954,0.7603,0.8154
▁temple,寺,17567,30951,0.4749,0.908
▁ten,十,3006,30802,0.852,0.937
▁than,比,1135,31419,0.1384,0.1201
▁that,那,393,31356,0.5474,0.514
▁then,然,769,31516,0.1436,0.1842
▁this,这,445,30810,0.3936,0.6504
▁three,三,2211,30457,0.731,0.5737
▁time,时,931,30594,0.6543,0.6797
▁tower,塔,19372,31831,0.296,0.7744
▁town,镇,4726,30411,0.1278,0.815
▁true,真,1565,30848,0.4448,0.3628
▁try,试,1018,31787,0.5566,0.3782
▁turn,转,2507,31415,0.2139,0.3882
▁two,二,1023,30685,0.4917,0.7207
▁type,类,1134,30832,0.1956,0.2235
▁union,联,9833,31986,0.2133,0.3142
▁universe,宇,19859,31503,0.487,0.367
▁valley,谷,19599,31112,0.2754,0.646
▁value,值,995,30959,0.1559,0.29
▁version,版,1873,30845,0.2996,0.2344
▁virtue,德,27935,31169,0.3354,0.1543
▁want,想,864,31522,0.2448,0.247
▁water,水,4094,30716,0.7603,0.912
▁wave,波,10742,31529,0.2812,0.2161
▁well,井,1532,30945,0.811,0.864
▁west,西,5833,30602,0.859,0.6206
▁white,白,4796,30868,0.76,0.745
▁wisdom,智,29714,31676,0.591,0.4248
▁woman,女,6114,30647,0.6953,0.8413
▁wood,木,8112,30710,0.3196,0.884
▁work,工,664,31041,0.289,0.2695
▁world,世,3186,30793,0.4146,0.472
▁write,写,2436,31479,0.3787,0.441
▁year,年,1629,30470,0.555,0.818
▁yellow,黄,13328,31491,0.848,0.675
▁you,你,366,30919,0.77,0.7783
