en,de,en_tok,de_tok,en_to_de_prob,de_to_en_prob
▁seven,▁sieben,9881,29447,0.61,0.7944
▁several,▁mehrere,3196,21742,0.1177,0.3757
▁she,▁sie,1183,2686,0.2607,0.3657
▁ship,▁Schiff,7751,22325,0.224,0.689
▁short,▁kurz,3273,24268,0.2236,0.3325
▁should,▁soll,881,10297,0.1539,0.2805
▁shows,▁zeigt,3697,29836,0.1235,0.558
▁since,▁seit,1951,8416,0.634,0.7764
▁sir,▁Herr,8889,12226,0.3264,0.3179
▁situation,▁Lage,6434,24531,0.10614,0.1847
▁six,▁sechs,4832,23320,0.6494,0.83
▁skin,▁Haut,19309,24838,0.366,0.684
▁small,▁klein,2319,24152,0.2703,0.4043
▁snow,▁Schne,15007,21129,0.625,0.573
▁society,▁Gesellschaft,12459,18626,0.0741,0.416
▁soldier,▁Sold,20767,19019,0.2778,0.1224
▁something,▁etwas,1554,23452,0.1181,0.4187
▁son,▁Sohn,1487,15148,0.5044,0.784
▁song,▁Lied,4823,29382,0.2004,0.781
▁soon,▁bald,4720,29023,0.7915,0.586
▁sources,▁Quellen,8974,25573,0.3804,0.38
▁south,▁süd,7062,14823,0.1272,0.797
▁speak,▁spre,7726,26743,0.4492,0.09283
▁stands,▁steht,15028,16324,0.2437,0.5728
▁star,▁Stern,5810,23413,0.3801,0.842
▁station,▁Bahnhof,5073,28701,0.1333,0.4148
▁stayed,▁blieb,27661,23919,0.1009,0.2377
▁stone,▁Stein,12565,14808,0.356,0.699
▁street,▁Straße,11952,22667,0.2135,0.4888
▁strong,▁stark,4549,18561,0.2607,0.417
▁summer,▁Sommer,11801,22820,0.3152,0.8022
▁tea,▁Te,23429,1920,0.3467,0.2356
▁team,▁Mannschaft,3815,21404,0.1293,0.765
▁technology,▁Techn,15483,8364,0.08075,0.1746
▁temple,▁Temp,17567,21121,0.1265,0.1028
▁the,▁der,278,589,0.1772,0.29
▁theatre,▁Theater,24520,16150,0.1257,0.4163
▁then,▁dann,769,7885,0.2903,0.734
▁there,▁dort,727,11529,0.376,0.772
▁this,▁dieses,445,18947,0.06116,0.4326
▁three,▁drei,2211,9697,0.7446,0.6846
▁through,▁durch,1549,3494,0.1749,0.402
▁time,▁Zeit,931,5347,0.133,0.6953
▁title,▁Titel,3611,16959,0.36,0.613
▁to,▁zu,304,1729,0.2355,0.394
▁today,▁heute,9826,12843,0.504,0.793
▁together,▁zusammen,4208,12438,0.3394,0.721
▁tone,▁Ton,16225,17812,0.10345,0.1547
▁took,▁nahm,3614,17586,0.1376,0.568
▁tower,▁Tur,19372,5383,0.06082,0.10425
▁tradition,▁Trad,11399,18375,0.11786,0.1326
▁traffic,▁Verkehr,12469,24374,0.2421,0.7017
▁train,▁Zug,7945,24698,0.1101,0.5767
▁two,▁zwei,1023,7325,0.708,0.7236
▁under,▁unter,1090,3662,0.314,0.379
▁university,▁Universität,16372,12855,0.10956,0.6035
▁until,▁bis,2745,2652,0.4775,0.393
▁us,▁uns,502,9644,0.5215,0.5493
▁valley,▁Tal,19599,10288,0.2278,0.616
▁very,▁sehr,1407,13572,0.554,0.7197
▁victory,▁Sieg,15354,23494,0.3608,0.7505
▁village,▁neu,5720,17167,0.1628,0.3706
▁voice,▁Stim,7314,26256,0.2673,0.3035
▁war,▁Krieg,1370,23234,0.2152,0.8154
▁water,▁Wasser,4094,16124,0.5566,0.779
▁we,▁wir,591,14259,0.484,0.718
▁went,▁ging,3512,12773,0.3389,0.3608
▁were,▁waren,892,6183,0.4854,0.6924
▁what,▁was,825,471,0.3782,0.3923
▁where,▁wo,988,8879,0.3967,0.7144
▁wine,▁Wein,19006,26331,0.6187,0.7227
▁with,▁mit,411,1380,0.2169,0.4702
▁without,▁ohne,1728,14233,0.3374,0.4475
▁woman,▁Frau,6114,16547,0.5933,0.512
▁women,▁Frauen,5866,16386,0.2112,0.671
▁wood,▁Holz,8112,26211,0.2499,0.724
▁word,▁Wort,1734,13824,0.3828,0.644
▁work,▁Arbeit,664,17561,0.2493,0.6426
▁world,▁Welt,3186,7633,0.193,0.7485
▁writer,▁Schriftsteller,9227,24118,0.0949,0.569
▁year,▁Jahr,1629,3866,0.3665,0.7153
▁years,▁Jahre,2440,7095,0.1467,0.6416
▁yes,▁ja,4874,12337,0.5645,0.804
▁yet,▁noch,3447,5440,0.4758,0.2993
▁you,▁du,366,868,0.2507,0.692
▁zero,▁null,5225,1870,0.4204,0.4287
