en,fr,en_to_fr_prob,fr_to_en_prob
▁solution,▁solution,0.8105469,0.9213867
▁song,▁chanson,0.9223633,0.9477539
▁source,▁source,0.8676758,0.81347656
▁south,▁sud,0.796875,0.91015625
▁special,▁spécial,0.7919922,0.9296875
▁station,▁station,0.75341797,0.8496094
▁street,▁rue,0.9555664,0.87060547
▁success,▁succès,0.3791504,0.53466797
▁summer,▁été,0.91259766,0.9770508
▁super,▁super,0.44580078,0.7006836
▁symbol,▁sym,0.92285156,0.22875977
▁system,▁système,0.95703125,0.9609375
▁tail,▁queue,0.9736328,0.46679688
▁talent,▁talent,0.90185547,0.9038086
▁tea,▁thé,0.95947266,0.95410156
▁teach,▁ense,0.8041992,0.3330078
▁temple,▁temple,0.9785156,0.9614258
▁ten,▁dix,0.97314453,0.97509766
▁that,▁cela,0.18041992,0.33422852
▁this,▁ce,0.43823242,0.6152344
▁three,▁trois,0.78515625,0.76220703
▁time,▁temps,0.86572266,0.94189453
▁to,▁à,0.64746094,0.5810547
▁today,▁aujourd,0.5419922,0.29467773
▁too,▁trop,0.76220703,0.92285156
▁tower,▁tour,0.20788574,0.32641602
▁two,▁deux,0.9868164,0.9638672
▁type,▁type,0.1932373,0.29785156
▁union,▁union,0.85498047,0.82470703
▁universe,▁univers,0.8618164,0.6879883
▁valley,▁vall,0.8671875,0.6953125
▁version,▁version,0.96533203,0.9248047
▁village,▁village,0.9770508,0.95214844
▁wave,▁vague,0.23071289,0.13720703
▁well,▁bien,0.1315918,0.29614258
▁when,▁quand,0.8017578,0.95703125
▁white,▁blanc,0.97998047,0.9760742
▁woman,▁femme,0.6538086,0.57666016
▁wood,▁bois,0.9838867,0.90283203
▁work,▁travail,0.43823242,0.65185547
▁world,▁monde,0.98779297,0.93408203
▁year,▁année,0.76904297,0.96484375
▁you,▁vous,0.47998047,0.93115234
