en,de,en_to_de_prob,de_to_en_prob
▁house,▁Haus,0.9790039,0.9560547
▁in,▁in,0.7631836,0.82958984
▁is,▁ist,0.9736328,0.9296875
▁king,▁König,0.98339844,0.95654297
▁lake,▁See,0.95703125,0.7392578
▁language,▁Sprache,0.96484375,0.92822266
▁left,▁links,0.5288086,0.9741211
▁life,▁Leben,0.6123047,0.3503418
▁line,▁Lin,0.96435547,0.42749023
▁long,▁lang,0.82421875,0.94873047
▁man,▁Mann,0.9926758,0.99316406
▁mark,▁Mark,0.54541016,0.6982422
▁meaning,▁Bedeutung,0.78222656,0.92822266
▁middle,▁mitt,0.51660156,0.3408203
▁model,▁Mod,0.8935547,0.32080078
▁moon,▁Mond,0.99560547,0.90234375
▁mother,▁Mutter,0.97998047,0.96972656
▁mountain,▁Berg,0.90771484,0.87402344
▁museum,▁Museum,0.5185547,0.34960938
▁must,▁muss,0.6850586,0.7314453
▁name,▁Name,0.8339844,0.96533203
▁near,▁nahe,0.51220703,0.7709961
▁new,▁neu,0.5415039,0.9638672
▁night,▁Nach,0.51953125,0.18200684
▁north,▁Nord,0.56933594,0.85595703
▁not,▁nicht,0.8808594,0.7871094
▁number,▁Zahl,0.90527344,0.92871094
▁often,▁oft,0.8486328,0.95166016
▁old,▁alt,0.6323242,0.9770508
▁one,▁ein,0.5258789,0.60791016
▁only,▁nur,0.7597656,0.95166016
▁or,▁oder,0.74658203,0.9658203
▁original,▁Original,0.7216797,0.9477539
▁other,▁andere,0.46362305,0.7651367
▁over,▁über,0.71728516,0.6035156
▁page,▁Seite,0.52685547,0.44213867
▁person,▁Person,0.640625,0.95703125
▁picture,▁Bild,0.90234375,0.6621094
▁politics,▁Politik,0.97998047,0.92626953
▁power,▁Kraft,0.5522461,0.27416992
▁project,▁Projekt,0.4267578,0.69628906
▁province,▁Provinz,0.9238281,0.9091797
▁red,▁rot,0.6328125,0.9848633
▁research,▁Forsch,0.80322266,0.6333008
▁river,▁Fl,0.7265625,0.03918457
▁same,▁gleich,0.78808594,0.3527832
▁sand,▁Sand,0.98876953,0.98583984
▁school,▁Schule,0.6894531,0.7319336
▁science,▁Wissenschaft,0.87353516,0.9536133
▁seat,▁Sitz,0.8066406,0.6088867
▁self,▁selbst,0.5541992,0.85302734
▁seven,▁sieben,0.58691406,0.97216797
▁sex,▁Sex,0.8066406,0.9267578
▁should,▁sollte,0.45483398,0.9165039
▁six,▁sechs,0.69384766,0.97753906
▁small,▁klein,0.61279297,0.6191406
▁snow,▁Schne,0.9951172,0.9116211
▁so,▁so,0.8305664,0.81640625
▁society,▁Gesellschaft,0.9584961,0.9238281
▁song,▁Lied,0.79003906,0.95703125
▁south,▁süd,0.5444336,0.890625
▁star,▁Stern,0.96484375,0.9770508
▁station,▁Bahnhof,0.41723633,0.66503906
▁stone,▁Stein,0.9272461,0.9394531
▁street,▁Straße,0.81884766,0.83691406
▁summer,▁Sommer,0.87060547,0.9658203
▁super,▁super,0.3083496,0.9116211
▁symbol,▁Symbol,0.85498047,0.9267578
▁system,▁System,0.9770508,0.9506836
▁tea,▁Te,0.98046875,0.70410156
▁ten,▁ze,0.88623047,0.19274902
▁this,▁dies,0.37426758,0.69091797
▁thought,▁Ged,0.8876953,0.13696289
▁three,▁drei,0.7871094,0.5913086
▁time,▁Zeit,0.89501953,0.9819336
▁to,▁zu,0.5654297,0.83984375
▁today,▁heute,0.5620117,0.56152344
▁tower,▁Tur,0.86328125,0.28125
▁two,▁zwei,0.8652344,0.97314453
▁type,▁Typ,0.29174805,0.41967773
▁valley,▁Tal,0.85253906,0.85595703
▁version,▁Version,0.90625,0.9248047
▁village,▁Dorf,0.92333984,0.9477539
▁water,▁Wasser,0.91259766,0.72558594
▁west,▁west,0.6791992,0.89208984
▁wild,▁wild,0.5566406,0.9638672
▁woman,▁Frau,0.87402344,0.5336914
▁wood,▁Holz,0.9663086,0.98291016
▁work,▁Arbeit,0.54541016,0.5395508
▁world,▁Welt,0.97802734,0.9355469
▁year,▁Jahr,0.96728516,0.97998047
▁you,▁du,0.47998047,0.9169922
